min_temperature,total_precipitation,mean_temperature,max_temperature,snow_on_ground,date
-1.0,6.8,0.7,2.5,0.0,2021-01-01
-0.9,10.8,0.7,2.2,0.0,2021-02-01
0.2,1.7,1.1,2.1,0.0,2021-03-01
-0.1,0.0,0.8,1.7,0.0,2021-04-01
0.6,0.4,1.1,1.6,0.0,2021-05-01
-0.3,0.0,0.9,2.1,0.0,2021-06-01
-4.8,0.0,-2.0,0.8,0.0,2021-07-01
-8.3,0.0,-4.8,-1.3,0.0,2021-08-01
-2.4,0.0,0.8,4.1,0.0,2021-09-01
-2.0,0.0,0.1,2.1,0.0,2021-10-01
-3.1,0.0,-1.0,1.2,0.0,2021-11-01
-1.1,0.3,-0.5,0.0,0.0,2021-12-01
-0.5,0.0,1.5,3.6,0.0,2021-01-13
1.7,0.0,3.4,5.2,0.0,2021-01-14
2.7,2.9,4.2,5.6,0.0,2021-01-15
-0.3,0.0,2.3,5.0,0.0,2021-01-16
-0.6,0.2,2.3,5.1,0.0,2021-01-17
-2.3,0.0,-0.5,1.2,0.0,2021-01-18
-2.2,0.0,0.0,2.2,0.0,2021-01-19
-7.1,0.0,-4.0,-0.8,0.0,2021-01-20
-0.8,0.1,1.6,4.0,0.0,2021-01-21
-6.4,0.3,-1.9,2.6,0.0,2021-01-22
-10.6,0.0,-7.3,-4.0,0.0,2021-01-23
-6.2,0.0,-4.0,-1.8,0.0,2021-01-24
-2.1,0.0,0.1,2.3,0.0,2021-01-25
-3.9,8.7,-1.5,0.9,0.0,2021-01-26
-8.3,0.0,-5.4,-2.5,6.0,2021-01-27
-12.1,0.0,-9.4,-6.7,4.0,2021-01-28
-12.2,0.0,-9.4,-6.6,4.0,2021-01-29
-10.5,0.0,-6.3,-2.0,4.0,2021-01-30
-8.8,0.0,-6.5,-4.2,4.0,2021-01-31
-9.6,0.0,-5.8,-2.0,4.0,2021-01-02
-7.7,0.0,-3.9,0.0,3.0,2021-02-02
-5.9,0.0,-2.5,1.0,3.0,2021-03-02
-3.9,0.9,0.1,4.0,3.0,2021-04-02
-6.6,2.3,-1.7,3.1,2.0,2021-05-02
-8.1,0.0,-6.6,-5.1,2.0,2021-06-02
-11.6,0.8,-8.4,-5.2,4.0,2021-07-02
-11.7,0.2,-8.7,-5.7,3.0,2021-08-02
-8.8,0.3,-5.6,-2.4,4.0,2021-09-02
-10.1,0.0,-7.2,-4.2,3.0,2021-10-02
-9.8,0.0,-6.3,-2.8,3.0,2021-11-02
-13.5,0.3,-10.8,-8.1,2.0,2021-12-02
-11.8,1.6,-10.2,-8.6,4.0,2021-02-13
-11.2,0.0,-7.1,-3.0,8.0,2021-02-14
-8.4,5.4,-5.6,-2.8,6.0,2021-02-15
-12.0,5.5,-9.2,-6.4,16.0,2021-02-16
-12.7,0.0,-7.6,-2.5,14.0,2021-02-17
-6.2,3.7,-4.4,-2.6,13.0,2021-02-18
-5.6,2.4,-3.6,-1.7,19.0,2021-02-19
-7.3,0.0,-4.1,-0.9,20.0,2021-02-20
-8.5,0.0,-4.2,0.1,18.0,2021-02-21
-0.3,7.7,1.6,3.5,20.0,2021-02-22
0.2,0.5,2.7,5.3,16.0,2021-02-23
0.7,0.0,4.9,9.1,14.0,2021-02-24
-2.6,0.0,-0.2,2.2,9.0,2021-02-25
-3.8,0.0,-0.3,3.3,8.0,2021-02-26
1.0,6.5,3.7,6.4,7.0,2021-02-27
0.8,1.3,4.1,7.3,6.0,2021-02-28
-9.6,0.0,-1.5,6.5,1.0,2021-01-03
-12.8,0.0,-5.9,1.0,1.0,2021-02-03
-0.7,0.0,3.6,8.0,0.0,2021-03-03
-7.0,0.0,-2.6,1.8,0.0,2021-04-03
-8.8,0.0,-3.6,1.7,0.0,2021-05-03
-6.6,0.0,-3.8,-0.9,0.0,2021-06-03
-7.8,0.0,-3.9,0.0,0.0,2021-07-03
-6.4,0.0,1.5,9.4,0.0,2021-08-03
1.2,0.0,6.0,10.7,0.0,2021-09-03
3.2,0.0,8.7,14.1,0.0,2021-10-03
6.8,2.1,12.8,18.8,0.0,2021-11-03
-3.3,0.0,4.6,12.4,0.0,2021-12-03
-5.1,0.0,0.5,6.1,0.0,2021-03-13
-4.7,0.0,-0.5,3.8,0.0,2021-03-14
-7.8,0.0,-4.2,-0.6,0.0,2021-03-15
-1.2,0.0,0.8,2.8,0.0,2021-03-16
2.0,0.0,5.4,8.7,0.0,2021-03-17
-1.1,0.4,3.5,8.0,0.0,2021-03-18
-4.2,0.0,-0.4,3.5,0.0,2021-03-19
-0.3,0.0,6.3,13.0,0.0,2021-03-20
2.3,0.0,8.9,15.6,0.0,2021-03-21
3.5,0.0,9.8,16.1,0.0,2021-03-22
6.1,0.0,10.6,15.1,0.0,2021-03-23
7.9,0.8,11.4,14.9,0.0,2021-03-24
8.5,1.0,14.1,19.6,0.0,2021-03-25
4.0,28.4,7.1,10.3,0.0,2021-03-26
4.2,0.0,5.8,7.5,0.0,2021-03-27
2.8,9.5,6.5,10.2,0.0,2021-03-28
0.2,0.0,3.7,7.3,0.0,2021-03-29
2.6,0.0,10.5,18.4,0.0,2021-03-30
1.1,0.0,7.9,14.7,0.0,2021-03-31
-1.7,0.0,0.7,3.1,0.0,2021-01-04
-3.5,0.0,0.7,4.9,0.0,2021-02-04
-1.9,0.3,3.5,8.9,0.0,2021-03-04
1.5,0.0,6.9,12.3,0.0,2021-04-04
7.0,0.0,9.8,12.6,0.0,2021-05-04
7.5,0.1,10.2,12.9,0.0,2021-06-04
8.0,0.0,11.8,15.7,0.0,2021-07-04
10.4,0.0,14.9,19.4,0.0,2021-08-04
12.5,0.8,14.7,16.9,0.0,2021-09-04
11.3,0.0,15.2,19.1,0.0,2021-10-04
