date,total_taken_units,total_free_units,total_capacity_units,avg_min_temperature,avg_total_precipitation,avg_mean_temperature,avg_max_temperature,avg_snow_on_ground
2021-01-01,2988.0,118.0,3106.0,-1.0,6.8,0.7,2.5,0.0
2021-01-02,2992.0,107.0,3099.0,-0.9,10.8,0.7,2.2,0.0
2021-01-03,2977.0,119.0,3096.0,0.2,1.7,1.1,2.1,0.0
2021-01-04,2998.0,121.0,3119.0,-0.1,0.0,0.8,1.7,0.0
2021-01-05,3003.0,126.0,3129.0,0.6,0.4,1.1,1.6,0.0
2021-01-06,2985.0,121.0,3106.0,-0.3,0.0,0.9,2.1,0.0
2021-01-07,3000.0,109.0,3109.0,-4.8,0.0,-2.0,0.8,0.0
2021-01-08,3001.0,101.0,3102.0,-8.3,0.0,-4.8,-1.3,0.0
2021-01-09,2993.0,102.0,3095.0,-2.4,0.0,0.8,4.1,0.0
2021-01-10,2972.0,117.0,3089.0,-2.0,0.0,0.1,2.1,0.0
2021-01-11,2969.0,108.0,3077.0,-3.1,0.0,-1.0,1.2,0.0
2021-01-12,2981.0,106.0,3087.0,-1.1,0.3,-0.5,0.0,0.0
2021-01-13,2974.0,101.0,3075.0,-0.5,0.0,1.5,3.6,0.0
2021-01-14,2974.0,99.0,3073.0,1.7,0.0,3.4,5.2,0.0
2021-01-15,2975.0,103.0,3078.0,2.7,2.9,4.2,5.6,0.0
2021-01-16,2974.0,99.0,3073.0,-0.3,0.0,2.3,5.0,0.0
2021-01-17,2973.0,108.0,3081.0,-0.6,0.2,2.3,5.1,0.0
2021-01-18,2973.0,146.0,3119.0,-2.3,0.0,-0.5,1.2,0.0
2021-01-19,2958.0,149.0,3107.0,-2.2,0.0,0.0,2.2,0.0
2021-01-20,2951.0,120.0,3071.0,-7.1,0.0,-4.0,-0.8,0.0
2021-01-21,2949.0,123.0,3072.0,-0.8,0.1,1.6,4.0,0.0
2021-01-22,2982.0,181.0,3163.0,-6.3999999999999995,0.3,-1.9000000000000001,2.6,0.0
2021-01-23,3047.0,122.0,3169.0,-10.6,0.0,-7.3,-4.0,0.0
2021-01-24,3038.0,141.0,3179.0,-6.2,0.0,-4.0,-1.8,0.0
2021-01-25,2970.0,128.0,3098.0,-2.1,0.0,0.1,2.3,0.0
2021-01-26,2974.0,121.0,3095.0,-3.9,8.7,-1.5,0.9,0.0
2021-01-27,3005.0,154.0,3159.0,-8.3,0.0,-5.4,-2.5,6.0
2021-01-28,3052.0,123.0,3175.0,-12.1,0.0,-9.4,-6.7,4.0
2021-01-29,3089.0,102.0,3191.0,-12.200000000000001,0.0,-9.4,-6.6000000000000005,4.0
2021-01-30,3083.0,100.0,3183.0,-10.5,0.0,-6.3,-2.0,4.0
2021-01-31,3085.0,100.0,3185.0,-8.8,0.0,-6.5,-4.2,4.0
2021-02-01,3072.0,110.0,3182.0,-9.6,0.0,-5.8,-2.0,4.0
2021-02-02,2988.0,140.0,3128.0,-7.7,0.0,-3.9,0.0,3.0
2021-02-03,2981.0,67.0,3048.0,-5.9,0.0,-2.5,1.0,3.0
2021-02-04,2969.0,62.0,3031.0,-3.9,0.9,0.09999999999999999,4.0,3.0
2021-02-05,3002.0,59.0,3061.0,-6.6000000000000005,2.3,-1.7,3.1,2.0
