x,y,MAX_REL_HUMIDITY,MIN_TEMPERATURE_FLAG,TOTAL_RAIN,MIN_TEMPERATURE,ID,TOTAL_PRECIPITATION,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,MEAN_TEMPERATURE,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,PROVINCE_CODE,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,LOCAL_DAY,STATION_NAME,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG
-79.4,43.666666666666664,94,,,-1,6158355.2021.1.1,6.8,59,,,0.7,,17.3,,,2021,,,0,,,6158355,ON,2.5,M,,2021-01-01 00:00:00,,,M,1,1,TORONTO CITY,,
-79.4,43.666666666666664,94,,,-0.9,6158355.2021.1.2,10.8,69,,,0.7,,17.3,,,2021,,,0,,,6158355,ON,2.2,M,0,2021-01-02 00:00:00,,,M,1,2,TORONTO CITY,,
-79.4,43.666666666666664,92,,,0.2,6158355.2021.1.3,1.7,77,,,1.1,,16.9,,,2021,,,0,,,6158355,ON,2.1,M,0,2021-01-03 00:00:00,,,M,1,3,TORONTO CITY,,
-79.4,43.666666666666664,85,,,-0.1,6158355.2021.1.4,0,79,,,0.8,,17.2,,,2021,,,0,,,6158355,ON,1.7,M,,2021-01-04 00:00:00,,,M,1,4,TORONTO CITY,,
-79.4,43.666666666666664,92,,,0.6,6158355.2021.1.5,0.4,73,,,1.1,,16.9,,,2021,,,0,,,6158355,ON,1.6,M,,2021-01-05 00:00:00,,,M,1,5,TORONTO CITY,,
-79.4,43.666666666666664,77,,,-0.3,6158355.2021.1.6,0,63,,,0.9,,17.1,,,2021,,,0,,,6158355,ON,2.1,M,,2021-01-06 00:00:00,,,M,1,6,TORONTO CITY,,
-79.4,43.666666666666664,72,,,-4.8,6158355.2021.1.7,0,54,,,-2,,20,,,2021,,,0,,,6158355,ON,0.8,M,,2021-01-07 00:00:00,,,M,1,7,TORONTO CITY,,
-79.4,43.666666666666664,83,,,-8.3,6158355.2021.1.8,0,46,,,-4.8,,22.8,,,2021,,,0,,,6158355,ON,-1.3,M,,2021-01-08 00:00:00,,,M,1,8,TORONTO CITY,,
-79.4,43.666666666666664,81,,,-2.4,6158355.2021.1.9,0,29,,,0.8,,17.2,,,2021,,,0,,,6158355,ON,4.1,M,,2021-01-09 00:00:00,,,M,1,9,TORONTO CITY,,
-79.4,43.666666666666664,83,,,-2,6158355.2021.1.10,0,65,,,0.1,,17.9,,,2021,,,0,,,6158355,ON,2.1,M,,2021-01-10 00:00:00,,,M,1,10,TORONTO CITY,,
-79.4,43.666666666666664,79,,,-3.1,6158355.2021.1.11,0,62,,,-1,,19,,,2021,,,0,,,6158355,ON,1.2,M,,2021-01-11 00:00:00,,,M,1,11,TORONTO CITY,,
-79.4,43.666666666666664,89,,,-1.1,6158355.2021.1.12,0.3,71,,,-0.5,,18.5,,,2021,,,0,,,6158355,ON,0,M,,2021-01-12 00:00:00,,,M,1,12,TORONTO CITY,,
-79.4,43.666666666666664,89,,,-0.5,6158355.2021.1.13,0,72,,,1.5,,16.5,,,2021,,,0,,,6158355,ON,3.6,M,,2021-01-13 00:00:00,,,M,1,13,TORONTO CITY,,
-79.4,43.666666666666664,85,,,1.7,6158355.2021.1.14,0,63,,,3.4,,14.6,,,2021,,,0,,,6158355,ON,5.2,M,,2021-01-14 00:00:00,,,M,1,14,TORONTO CITY,,
-79.4,43.666666666666664,90,,,2.7,6158355.2021.1.15,2.9,73,,,4.2,,13.8,,,2021,,,0,,,6158355,ON,5.6,M,,2021-01-15 00:00:00,,,M,1,15,TORONTO CITY,,
-79.4,43.666666666666664,89,,,-0.3,6158355.2021.1.16,0,55,,,2.3,,15.7,,,2021,,,0,,,6158355,ON,5,M,,2021-01-16 00:00:00,,,M,1,16,TORONTO CITY,,
-79.4,43.666666666666664,79,,,-0.6,6158355.2021.1.17,0.2,55,,,2.3,,15.7,,,2021,,,0,,,6158355,ON,5.1,M,,2021-01-17 00:00:00,,,M,1,17,TORONTO CITY,,
-79.4,43.666666666666664,82,,,-2.3,6158355.2021.1.18,0,65,,,-0.5,,18.5,,,2021,,,0,,,6158355,ON,1.2,M,,2021-01-18 00:00:00,,,M,1,18,TORONTO CITY,,
-79.4,43.666666666666664,83,,,-2.2,6158355.2021.1.19,0,50,,,0,,18,,,2021,,,0,,,6158355,ON,2.2,M,0,2021-01-19 00:00:00,,,M,1,19,TORONTO CITY,,
-79.4,43.666666666666664,72,,,-7.1,6158355.2021.1.20,0,51,,,-4,,22,,,2021,,,0,,,6158355,ON,-0.8,M,,2021-01-20 00:00:00,,,M,1,20,TORONTO CITY,,
-79.4,43.666666666666664,75,,,-0.8,6158355.2021.1.21,0.1,59,,,1.6,,16.4,,,2021,,,0,,,6158355,ON,4,M,,2021-01-21 00:00:00,,,M,1,21,TORONTO CITY,,
-79.4,43.666666666666664,85,,,-6.4,6158355.2021.1.22,0.3,52,,,-1.9,,19.9,,,2021,,,0,,,6158355,ON,2.6,M,,2021-01-22 00:00:00,,,M,1,22,TORONTO CITY,,
-79.4,43.666666666666664,70,,,-10.6,6158355.2021.1.23,0,43,,,-7.3,,25.3,,,2021,,,0,,,6158355,ON,-4,M,,2021-01-23 00:00:00,,,M,1,23,TORONTO CITY,,
-79.4,43.666666666666664,69,,,-6.2,6158355.2021.1.24,0,50,,,-4,,22,,,2021,,,0,,,6158355,ON,-1.8,M,,2021-01-24 00:00:00,,,M,1,24,TORONTO CITY,,
-79.4,43.666666666666664,77,,,-2.1,6158355.2021.1.25,0,55,,,0.1,,17.9,,,2021,,,0,,,6158355,ON,2.3,M,,2021-01-25 00:00:00,,,M,1,25,TORONTO CITY,,
-79.4,43.666666666666664,93,,,-3.9,6158355.2021.1.26,8.7,74,,,-1.5,,19.5,,,2021,,,0,,,6158355,ON,0.9,M,,2021-01-26 00:00:00,,,M,1,26,TORONTO CITY,,
-79.4,43.666666666666664,79,,,-8.3,6158355.2021.1.27,0,57,,,-5.4,,23.4,,,2021,,,0,,,6158355,ON,-2.5,M,6,2021-01-27 00:00:00,,,M,1,27,TORONTO CITY,,
-79.4,43.666666666666664,73,,,-12.1,6158355.2021.1.28,0,43,,,-9.4,,27.4,,,2021,,,0,,,6158355,ON,-6.7,M,4,2021-01-28 00:00:00,,,M,1,28,TORONTO CITY,,
-79.4,43.666666666666664,74,,,-12.2,6158355.2021.1.29,0,58,,,-9.4,,27.4,,,2021,,,0,,,6158355,ON,-6.6,M,4,2021-01-29 00:00:00,,,M,1,29,TORONTO CITY,,
-79.4,43.666666666666664,73,,,-10.5,6158355.2021.1.30,0,51,,,-6.3,,24.3,,,2021,,,0,,,6158355,ON,-2,M,4,2021-01-30 00:00:00,,,M,1,30,TORONTO CITY,,
-79.4,43.666666666666664,84,,,-8.8,6158355.2021.1.31,0,48,,,-6.5,,24.5,,,2021,,,0,,,6158355,ON,-4.2,M,4,2021-01-31 00:00:00,,,M,1,31,TORONTO CITY,,
-79.4,43.666666666666664,59,,,-9.6,6158355.2021.2.1,0,38,,,-5.8,,23.8,,,2021,,,0,,,6158355,ON,-2,M,4,2021-02-01 00:00:00,,,M,2,1,TORONTO CITY,,
-79.4,43.666666666666664,64,,,-7.7,6158355.2021.2.2,0,43,,,-3.9,,21.9,,,2021,,,0,,,6158355,ON,0,M,3,2021-02-02 00:00:00,,,M,2,2,TORONTO CITY,,
-79.4,43.666666666666664,62,,,-5.9,6158355.2021.2.3,0,37,,,-2.5,,20.5,,,2021,,,0,,,6158355,ON,1,M,3,2021-02-03 00:00:00,,,M,2,3,TORONTO CITY,,
-79.4,43.666666666666664,92,,,-3.9,6158355.2021.2.4,0.9,44,,,0.1,,17.9,,,2021,,,0,,,6158355,ON,4,M,3,2021-02-04 00:00:00,,,M,2,4,TORONTO CITY,,
-79.4,43.666666666666664,94,,,-6.6,6158355.2021.2.5,2.3,50,,,-1.7,,19.7,,,2021,,,0,,,6158355,ON,3.1,M,2,2021-02-05 00:00:00,,,M,2,5,TORONTO CITY,,
-79.4,43.666666666666664,69,,,-8.1,6158355.2021.2.6,0,48,,,-6.6,,24.6,,,2021,,,0,,,6158355,ON,-5.1,M,2,2021-02-06 00:00:00,,,M,2,6,TORONTO CITY,,
-79.4,43.666666666666664,85,,,-11.6,6158355.2021.2.7,0.8,45,,,-8.4,,26.4,,,2021,,,0,,,6158355,ON,-5.2,M,4,2021-02-07 00:00:00,,,M,2,7,TORONTO CITY,,
-79.4,43.666666666666664,79,,,-11.7,6158355.2021.2.8,0.2,40,,,-8.7,,26.7,,,2021,,,0,,,6158355,ON,-5.7,M,3,2021-02-08 00:00:00,,,M,2,8,TORONTO CITY,,
-79.4,43.666666666666664,81,,,-8.8,6158355.2021.2.9,0.3,45,,,-5.6,,23.6,,,2021,,,0,,,6158355,ON,-2.4,M,4,2021-02-09 00:00:00,,,M,2,9,TORONTO CITY,,
-79.4,43.666666666666664,66,,,-10.1,6158355.2021.2.10,0,43,,,-7.2,,25.2,,,2021,,,0,,,6158355,ON,-4.2,M,3,2021-02-10 00:00:00,,,M,2,10,TORONTO CITY,,
-79.4,43.666666666666664,70,,,-9.8,6158355.2021.2.11,0,37,,,-6.3,,24.3,,,2021,,,0,,,6158355,ON,-2.8,M,3,2021-02-11 00:00:00,,,M,2,11,TORONTO CITY,,
